Country,Human Development Index (HDI) ,HDI Group,HDI rank,Life expectancy at birth (years),Expected years of schooling (years),Mean years of schooling (years),Gross national income (GNI) per capita (2017 PPP $),GNI per capita rank minus HDI rank,HDI rank 2018,Change in HDI rank (2014-2019),Inequality-adjusted HDI,Gender Inequality Index,"Maternal mortality ratio (2017, deaths per 100,000 live births)","Adolescent birth rate (2015-2020, births per 1,000 women ages 15–19)",Share of seats in parliament (% held by women),"Female population with at least some secondary education (2015-2019, % ages 25 and older)","Male population with at least some secondary education (2015-2019, % ages 25 and older)",Female labour force participation rate (% ages 15 and older),Male labour force participation rate (% ages 15 and older),Population (millions),Average annual population growth 2015-2020 (%),Urban population (%),Population under age 5 years (millions),Population age 15-64 years (millions),Population age 65+ years (millions),Median age (years),"Total fertility rate (2015-2020, births per woman)","Infants exclusively breastfed (2010-2019, % ages 0–5 months)",Infants lacking DTP immunization (% of one-year-olds),Infants lacking measles immunization (% of one-year-olds),"Child malnutrition - stunting (moderate or severe) (2010-2019, % under age 5)","Infant mortality (2018, per 1,000 live births)","Child under 5y mortality (2018, per 1,000 live births)","Adult female mortality (2018, per 1,000 people)","Adult male mortality (2018, per 1,000 people)","Female mortality rate attributed to noncommunicable diseases (2016, per 100,000 people)","Male mortality rate attributed to noncommunicable diseases (2016, per 100,000 people)","Malaria incidence (2018, per 1,000 people at risk)","Tuberculosis incidence (2018, per 100,000 people)","HIV prevalence, adult (2018, % ages 15–49)",Healthy life expectancy at birth (years),"Current health expenditure (2017, % of GDP)","Adult literacy rate (2008-2018, % ages 15 and older)","Female youth literacy rate (2008-2018, % ages 15–24)","Male youth literacy rate (2008-2018, % ages 15–24)","Population with at least some secondary education (2015-2019, % ages 25 and older)","Pre-primary gross enrollment ratio (2014-2019, % of preschool-age children)","Primary gross enrollment ratio (2014-2019, % of primary school–age population)","Secondary gross enrollment ratio (2014-2019, % of secondary school–age population)","Tertiary gross enrollment ratio (2014-2019, % of tertiary school–age population)","Government expenditure on education  (2013-2018, % of GDP)",Total GDP (2017 PPP $ billions),Per capita GDP (2017 PPP $ billions),Annual growth in per capita GDP (%),"Total tax revenue (2014-2019, % of GDP)",Consumer price index (2010=100),Employment to population ratio (% ages 15 and older),"Prison population (2013-2018, per 100,000 people)","Homicide rate (2013-2018, per 100,000 people)","Female suicide rate (2016, per 100,000 people)","Male suicide rate (2016, per 100,000 people)","Depth of food deficit (Average dietary energy supply adequacy, 2017/2019, %)",Exports and imports (% of GDP),"Net migration rate (2015/2020, per 1,000 people)",Stock of immigrants (% of population),"Internet users (2018, % of population)","Female internet users (2018, % of female population)","Mobile phone subscriptions (2018, per 100 people)","Mobile phone subscriptions (2010-2018, % change)"
country,hdi,hdi_group,hdi_rank,life,educ_expected,educ_mean,gni,gni_rank_minus_hdi_rank,hdi_rank_18,hdi_change_1419,hdi_ineq,gii,mort_maternal,birth_adol,parl_f,educ_f,educ_m,labor_f,labor_m,pop,pop_change,urban,pop_lt5,pop_15_64,pop_ge65,age_median,fertility,breast,dtp_vax_no,measles_vax_no,stunt,mort_infant,mort_lt5,mort_adult_f,mort_adult_m,mort_ncd_f,mort_ncd_m,malaria,tb,hiv,life_healthy,cur_health_expen,literacy_adult,literacy_youth_f,literacy_youth_m,educ,educ0,educ1,educ2,educ3,educ_spending,gdp_total,gdp_percap,gdp_percap_growth,tax,cpi,employ,prison,homicide,suicide_f,suicide_m,food_deficit,trade,migration,immigrant,internet,internet_f,phone,phone_change
Guinea,0.477,Low,178,61.6,9.408505,2.774225,2405.181497,-12,177,1,0.313,..,576,135.294,22.80701754,..,..,62.699,60.205,12.771246,2.774,36.5,2.059607,6.84645,0.375727,18.02,4.7384,33.434288,38,53,30.33057,64.931726,100.778333,232.889,260.356,762.2,765.3,283.88739,176,1.4,53.869214,4.123087,32.00384,37.21018,56.97051,11.75489793,..,91.50917,39.33397,11.55931,2.57251,32.7460173,2564.042483,2.626326784,..,262.9496921,58.89,26.5,..,8.4,12.7,122,108.7208,-0.326,0.944637665,18,..,96.115,56.8692
Yemen,0.47,Low,179,66.13,8.76899,3.2,1593.704031,2,179,-16,0.321,0.795,164,60.352,0.970873786,19.92,36.9182701,5.834,70.183,29.161922,2.366,37.3,4.09871,16.877311,0.846316,20.221,3.8372,9.6996231,19,33,46.40947,42.911544,54.958638,174.558,219.749,819.7,951.6,45.83875,48,0.1,58.58666,4.23457548,..,..,..,28.02,1.59278,93.63748,51.58068,..,..,..,..,-1.594394524,..,157.5833405,33.094,54.2,6.772149422,6.2,13.4,96,..,-1.065,1.322368258,26.7184,..,55.175,7.3017
Eritrea,0.459,Low,180,66.32,5.0052837,3.9,2793.482718,-17,180,-3,..,..,480,52.553,22,..,..,71.459,85.474,3.497117,1.182,40.7,0.490684,1.885341,0.157503,19.209,4.1,68.7,3,1,52.53276,31.348003,41.916511,202.445,276.241,594.7,718.8,28.87977,89,0.7,55.862585,2.870023,76.57052,92.71403,93.81868,..,23.32836,68.43383,47.69711,3.36256,..,..,..,..,..,..,74.355,..,..,6.1,22.4,..,47.39379,-11.571,0.460407816,1.30891,..,20.364,14.52016
Mozambique,0.456,Low,181,60.85,9.97402,3.540898438,1250.405688,3,181,2,0.316,0.523,289,148.626,41.2,13.96321,19.90741,77.281,79.005,30.366043,2.896,36.5,5.047834,16.019172,0.874077,17.62,4.8858,41,7,13,42.29184,54.018286,73.217734,268.188,389.521,502.7,546.5,305.35874,551,12.6,50.797915,4.941198,60.65543,65.48977,77.26017,16.94978233,..,112.60498,35.40672,7.31255,5.59847,38.88219239,1280.450053,-0.705129546,21.62551,182.3147834,75.566,63.5,..,4.1,14,95,112.1514,-0.172,1.102103021,10,..,47.7158,17.0159
Burkina Faso,0.452,Low,182,61.58,9.27373,1.644298557,2132.95557,-9,183,3,0.316,0.594,320,104.329,13.38582677,6.079310168,12.28004515,58.308,74.826,20.321383,2.868,30,3.408259,10.753036,0.489195,17.551,5.2315,55.8,5,12,24.90041,49.007092,76.416638,228.16,260.379,716.8,754.5,398.73369,48,0.7,54.160304,6.91506,41.22445,54.67,61.79,8.884239787,4.365,96.09037,40.70973,6.50187,6.03609,44.49631954,2189.631015,2.724926527,15.00036,108.3590229,62.268,41.1,1.25044052,9.1,22.4,122,60.18214,-1.282,3.534888234,16,..,97.9123,61.3357
Sierra Leone,0.452,Low,182,54.7,10.17593,3.7,1667.844447,-4,182,-2,0.291,0.644,1120,112.828,12.32876712,20.12582593,33.01000419,57.309,58.489,7.813207,2.128,42.5,1.14731,4.401016,0.230312,19.402,4.319,54.1,5,7,29.5,78.477185,105.067439,353.346,392.263,1017.3,951.7,320.4003,298,1.5,54.061702,13.420928,43.20633,62.69922,70.57611,26.4625,13.88317,112.75457,41.79632,..,7.13846,13.42600005,1718.370741,3.311405018,..,234.1587095,55.333,59.1,1.728967838,14.2,18.2,104,56.69583,-0.554,0.695385958,9,..,88.4699,57.2961
Mali,0.434,Low,184,59.31,7.46103,2.352954412,2268.77278,-17,184,0,0.289,0.671,562,169.127,9.523809524,7.34422,16.381122,61.248,80.613,19.658023,2.99,43.1,3.532113,9.868369,0.490491,16.347,5.9215,40.240704,18,30,26.89075,61.961957,97.77479,244.756,263.613,817,795.6,386.77755,53,1.4,54.260438,3.793985,35.47377,43.39811,57.83326,13.1013,6.96079,75.6006,41.02728,4.5169,3.78684,45.75153362,2327.37112,1.939027242,11.60092,108.7260798,65.697,30.8,..,4.7,13.5,135,57.189,-2.123,2.381876394,13,..,115.085,65.6451
Burundi,0.433,Low,185,61.58,11.06933,3.287982742,753.9087475,4,184,-5,0.303,0.504,548,55.59,38.75,7.5,11.37319532,80.434,77.819,11.530577,3.146,13.4,2.018697,6.029025,0.266595,17.32,5.45,71.9,3,8,54.0079,40.992598,58.456862,253.135,310.651,625,708.7,250.2725,111,1,55.504331,7.51757,68.37533,85.61855,91.03415,9.401494499,15.36692,121.42156,48.46502,6.05016,5.01084,8.667121392,751.6639572,-1.294802749,..,182.11234,78.024,98.3,6.054537366,7.7,23.1,..,41.85736,0.181,2.784057697,2.66075,1.49482,56.5347,37.1928
South Sudan,0.433,Low,185,57.85,5.296258,4.8,2003.318894,-10,186,-3,0.276,..,1150,62.04,26.55889145,..,..,70.959,73.833,11.062114,0.873,19.9,1.697857,6.090267,0.373544,19.04,4.7359,44.53772,49,51,31.28257,63.691626,98.575281,300.898,350.689,540.7,589.3,235.92027,146,2.5,54.601292,9.760994,34.52276,47.3692,48.42514,33.08548403,11.25782,72.98991,11.00999,..,0.98104,..,..,-12.13179824,..,4583.705462,63.523,60.7,..,4.1,8.3,..,65.55135,-15.902,7.824472594,7.97743,..,33.463,17.6874
Chad,0.398,Low,187,54.24,7.34935,2.52368,1555.373575,-5,187,-1,0.248,0.71,1140,161.09,14.88095238,1.738381058,10.5268837,63.944,77.547,15.946882,3.038,23.3,2.871728,8.083064,0.397341,16.554,5.7973,0.10602189,35,59,39.76577,71.424186,118.978111,335.378,377.607,710.9,796.7,164.83196,142,1.3,52.852388,4.487301,22.31155,22.38715,40.69289,6.058779237,0.95611,86.84687,22.5566,3.2513,2.24185,25.19011103,1579.626695,0.209857603,..,117.6982047,69.362,56.2,..,13.8,17.1,95,74.57053,0.131,3.212102483,6.5,..,45.1237,21.0669
Central African Republic,0.397,Low,188,53.28,7.56836,4.282,993.0088419,0,188,-1,0.232,0.68,829,129.074,8.571428571,13.42,31.32,64.44,79.776,4.745179,1.445,41.8,0.730857,2.527527,0.133567,17.611,4.7541,28.8,31,51,37.53077,84.463697,116.478405,371.323,452.968,638.1,680.3,347.32699,540,3.6,45.709534,5.821776,37.39582,28.70666,47.80493,22.08,2.92555,102.0189,17.13538,..,..,4.483573904,944.8680935,1.260146014,8.63983,..,69.307,17,20.12040065,6,18,79,66.13513,-8.581,1.910336478,4.33925,..,27.6743,5.3519
Niger,0.394,Low,189,62.42,6.47145,2.079048967,1200.898463,-4,189,-1,0.284,0.642,509,186.538,16.95906433,4.66,8.99986914,60.586,83.671,23.310719,3.816,16.5,4.642084,11.086839,0.605315,15.151,6.95,23.253159,8,21,48.48269,47.984933,83.656868,222.743,251.729,648.3,681.8,356.57063,87,0.3,55.059138,7.739963,30.56039,31.64391,48.55718,6.685914962,8.0477,74.7362,24.25375,4.41435,4.9198,28.41755393,1219.076889,1.889004441,..,109.3236868,71.7,42.6,..,6.7,11.5,121,39.71296,0.181,1.261913245,5.25049,2.91446,40.6385,18.3558
